Name,Category,TierTarget,ContactOwner,Status,Notes
TI MedTech,Anchor,Platinum-equivalent (scope TBD),"Kashaf, Aleeya, Dr Irwan/Tita",Pending scope call,See 01_TI_MedTech_Partnership_Clarification.md
IBM,Enterprise,Gold/Platinum,Leon,Not yet contacted,Leon's direct connection
Other Leon enterprise contacts,Enterprise,Gold/Silver,Leon,To be named,After Week 1 coordination meeting
RMIT clubs/student societies,Local/in-kind,Silver/in-kind,"Kashaf, Aleeya",Not yet contacted,
Melbourne Uni tech club,Local,Silver,"Kashaf, Aleeya",Not yet contacted,
Monash tech club,Local,Silver,"Kashaf, Aleeya",Not yet contacted,
Swinburne tech club,Local,Silver,"Kashaf, Aleeya",Not yet contacted,
Local Melbourne tech firms,Local,Silver,"Kashaf, Aleeya",Not yet contacted,
RMIT Activator startup network,In-kind (mentors),In-kind,Leon,Warm,Existing relationship
